Artikelnummer;Barcode;Artikeltext1;KoliBarcode;Artikelgruppe;Steuersatz;EKPreis;VKPreis;Lagerbestand;AktionNetto;AktionVon;AktionBis;Pfand;PfandID;Pfandartikel
1;;DPG Pfand EINWEG 0,15 - 1er 0,15 Euro;;Pfand;19;0,15;0,15;-1;0;19.05.2026;19.05.2026;;0;1
2;;DPG Pfand EINWEG 0,25 - 6er 1,50 Euro;;Pfand;19;0,25;1,5;26.067,00;0;18.05.2026;18.05.2026;;0;1
3;;DPG Pfand Kiste Getränke 24er - 5,10€;;Pfand;19;5,1;5,1;2.301,00;0;18.05.2026;18.05.2026;;0;1
4;;DPG Pfand Bierkiste 24er 3,42;;Pfand;19;3,42;3,42;1.075,00;0;21.05.2026;21.05.2026;;0;1
5;;DPG Pfand Bierkiste 20er 3,10;;Pfand;19;3,1;3,1;733;0;21.05.2026;21.05.2026;;0;1
6;;DPG Pfand Kiste 12er 2,46;;Pfand;19;2,46;2,46;16;0;21.05.2026;21.05.2026;;0;1
7;;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;;Pfand;19;6;6;602;0;21.05.2026;21.05.2026;;0;1
8;;DPG Pfand Glas-Mehrweg 0,08 Euro;;Pfand;19;0,08;0,08;0;0;21.05.2026;21.05.2026;;0;1
9;;DPG Pfand EINWEG 0,25 - 12er 3,00 Euro;;Pfand;19;3;3;1.215,00;0;22.05.2026;22.05.2026;;0;1
10;;Europalette 8,50€;;Pfand;19;8,5;8,5;40;0;18.05.2026;18.05.2026;;0;0
11;;EUROPALETTE   7,50€;;Pfand;19;7,5;7,5;256;0;18.05.2026;18.05.2026;;0;0
12;;Europalette 15,00 Euro;;Pfand;19;15;15;44;0;21.05.2026;21.05.2026;;0;1
13;;DPG Pfand Bierkiste 28er - 3,74 Euro;;Pfand;19;3,74;3,74;10;0;22.05.2026;22.05.2026;;0;1
14;;DPG Pfand Kiste Getränke 20er - 4,50 Euro;;Pfand;19;4,5;4,5;315;0;22.05.2026;22.05.2026;;0;0
15;;DPG Pfand Kiste Getränke 6er - 2,40 Euro;;Pfand;19;2,4;2,4;128;0;22.05.2026;22.05.2026;;0;1
16;;DPG Pfand Getränke 20er Kiste - 4,50 Euro;;Pfand;19;4,5;4,5;0;0;22.05.2026;22.05.2026;;0;1
17;;DPG Pfand Kiste Getränke 12er - 3,30 Euro;;Pfand;19;3,3;3,3;1.341,00;0;22.05.2026;22.05.2026;;0;1
18;;Grüne Klappkiste / Steigen - 3,86;;Pfand;19;3,86;3,86;211;0;02.06.2026;02.06.2026;;0;1
19;;Europalette 10€;;Pfand;19;10;0;32;0;02.06.2026;02.06.2026;;0;0
20;;EPS-186;;Pfand;19;3,86;0;56;0;02.06.2026;02.06.2026;;0;0
21;;Einmalige Palette;;Pfand;19;0;0;10;0;02.06.2026;02.06.2026;;0;0
22;;DPG Pfand MEHRWEG 0,25€;;Pfand;19;0,25;0,25;-262;0;02.06.2026;02.06.2026;;0;1
23;;Stellplatz;;Pfand;19;0;0;6.000,00;0;02.06.2026;02.06.2026;;0;0
24;;Europaletten;;Pfand;19;8;0;7.040,00;0;02.06.2026;02.06.2026;;0;0
25;;Chep Palette Blau;;Pfand;19;0;0;9;0;07.06.2026;07.06.2026;;0;0
26;;Leergut  0,60€;;Pfand;19;0,6;0,6;30;0;08.06.2026;08.06.2026;;0;0
27;;Leergut  0,90€;;Pfand;19;0,9;0,9;99;0;08.06.2026;08.06.2026;;0;0
28;;Leergut  3,86€;;Pfand;19;3,86;3,86;-41;0;08.06.2026;08.06.2026;;0;0
29;;Sojakiste - Soja Kasasi;;Pfand;19;10;10;-5;0;12.06.2026;12.06.2026;;0;0
30;;Tüte;;;19;0,01;0,1;0;0;18.06.2026;18.06.2026;;0;0
31;;DD - Paletten;;Pfand;19;6,5;0;0;0;18.06.2026;18.06.2026;;0;0
32;;Evers  Palette;;Pfand;19;0;0;1;0;01.07.2026;01.07.2026;;0;0
33;;Evers  Kiste;;Pfand;19;0;0;50;0;01.07.2026;01.07.2026;;0;0
34;;Äquivalente  Palettenpositionen;;Pfand;19;0;0;1;0;01.07.2026;01.07.2026;;0;0
35;;Leergut  0,36€;;Pfand;19;0,36;0;7;0;05.07.2026;05.07.2026;;0;0
50;;Transport / Lieferung / Fracht;;Lieferung/Fracht;19;2.913,50;0;5;0;25.05.2026;25.05.2026;;0;0
51;;Müllcontainer;;;19;431,98;0;1;0;14.06.2026;14.06.2026;;0;0
52;;Kühlschrank;;;19;0;0;3;0;16.06.2026;16.06.2026;;0;0
53;;PFAND Glasflasche 24x0,03 Euro - 0,72 Euro;;Pfand;19;0,72;0,72;119;0;10.07.2026;10.07.2026;;0;1
54;4383;REGAL- Regalboden/Regalfüße u.s.w.;4384;Pfand;19;0;0;199;0;10.07.2026;10.07.2026;;0;0
11000000;;Avocado Hass 5kg Kiste/Karton - 16 Stück;;Obst;7;2,5;0;62;0;27.05.2026;27.05.2026;;0;0
13000000;;Hot Blood Ice Tea Pfirsisch 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;45.193,00;7,49;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000001;;Hot Blood Ice Tea Zitrone 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;2.146,00;0;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000002;;Hot Blood Ice Tea Wassermelone 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,68;7,99;2.158,00;8,99;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000003;;Hot Blood Gazoz 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;2.151,00;0;18.05.2026;03.07.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000004;;Hot Blood Coffee Latte 0,33l Dose 24er Pack;4,26E+12;Getränke;7;14,4;15,49;2.875,00;15,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000005;;Z Mojito Energydrink 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;2.879,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000006;;Z Exotic Tropicana 033l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;2.160,00;7,49;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000007;;Z Multivitaminsaft 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;2.142,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000008;;Z Orange Juicy Dream 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;2.159,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000009;;Hot Blood Ice Tea Waldfrucht 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;1.195,00;0;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000010;;Hot Blood Apfelschorle 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,68;7,99;1.200,00;7,99;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000011;;Hot Blood Energy Classic 0,25l Dose 24er Pack;4,27E+12;Getränke;19;7,2;7,49;28.276,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000012;;Hot Blood  Energy Pfirsich 0,25l Dosen 24er Pack;4,26E+12;Getränke;19;7,2;7,49;1.440,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000013;;Hot Blood  Energy Mango-Ananas 0,25l Dose 24er Pack;4,27E+12;Getränke;19;7,2;7,49;1.439,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000014;;BEY Ice Tea Pfirsich 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;8.559,00;0;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000015;;BEY Ice Tea Zitrone 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;4.291,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000016;;BEY Ice Tea Waldfrucht 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;4.283,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000017;;BEY Gazoz 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;14.978,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000018;;BEY Gazoz Zero 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;6.411,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000019;;BEY Gazoz Kirsch 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;2.133,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000020;;YURT Natürliches Mineralwasser Still 0,5l Flasche 24er Pack;4,26E+12;Getränke;19;2,95;3,99;904;0;18.05.2026;18.05.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000021;;YURT Natürliches Mineralwasser Spritzig 0,5l Flasche 24er Pack;4,26E+12;Getränke;19;3,6;4,49;151;0;18.05.2026;18.05.2026;DPG Pfand EINWEG 0,25 - 24er 19% - 6,00 Euro;113;0
13000022;;YURT Quellwasser Still 1,5l 6er Pack;4,26E+12;Getränke;19;1,85;2,49;171;0;18.05.2026;18.05.2026;DPG Pfand EINWEG 0,25 - 6er 1,50 Euro;11;0
13000023;4,26E+12;YURT Quellwasser Still 5l Flasche;8,68E+12;Getränke;19;1;1,99;1.144,00;0;18.05.2026;18.05.2026;;0;0
13000024;5,00E+12;Coca-Cola 0,33l Dose 24er Pack;5,00E+12;Getränke;19;9,67;9,99;12.346,00;9,88;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000025;;Coke Zero 0,33l Dose 24er Pack;5,00E+12;Getränke;19;9,67;9,99;12.418,00;9,88;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000026;;Coca-Cola 0,2l Glasflasche 24er Kiste;54490000;Getränke;19;9,21;10,49;233;0;19.05.2026;19.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000027;;Coca-Cola 0,33l Glasflasche 24er Kiste;87126853;Getränke;19;12,92;14,99;1.082,00;0;19.05.2026;19.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000028;;SPRITE 0,33l Glasflasche 24er Kiste;50112135;Getränke;19;12,92;14,99;57;0;19.05.2026;19.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000029;;MEZZO MIX 0,33l Glasflasche 24er Kiste;40822952;Getränke;19;12,92;14,99;78;0;19.05.2026;19.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000030;;FANTA ORANGE 0,33l Glasflasche 24er Kiste;87126860;Getränke;19;12,92;14,99;115;0;19.05.2026;19.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000031;;FANTA ORANGE 0,2l Glasflasche 24er Kiste;90495090;Getränke;19;9,21;10,49;0;0;19.05.2026;19.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000032;;MEZZO MIX 0,2l Glasflasche 24er Kiste;42116899;Getränke;19;9,21;10,49;35;0;19.05.2026;19.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000033;;COKE ZERO 0,2l Glasflasche 24er Kiste;50112012;Getränke;19;9,21;10,49;226;0;19.05.2026;19.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000034;;COKE ZERO 0,33l Glasflasche 24er Kiste;90357879;Getränke;19;12,92;14,99;190;0;19.05.2026;19.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000035;;FANTA EXOTIC 0,33l Glasflasche 24er Kiste;90494680;Getränke;19;12,92;14,99;40;0;19.05.2026;19.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000036;;COKE CHERRY 0,33l Glasflasche 24er Kiste;54035546;Getränke;19;12,92;14,99;40;0;19.05.2026;19.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000037;;SPRITE 0,2l Glasflasche 24er Kiste;90495502;Getränke;19;9,21;10,49;949;0;19.05.2026;19.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000038;;COKE ZERO 0,5l PET-Einwegflasche 12er Pack;5,45E+12;Getränke;19;8,35;10,49;271;8,79;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 12er 3,00 Euro;224;0
13000039;;Coca-Cola 0,5l PET 12er Pack;5,45E+12;Getränke;19;8,35;10,49;1.613,00;8,79;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 12er 3,00 Euro;224;0
13000040;;LIFT Apfelschorle 0,5l PET-Einwegflasche 12er Pack;5,45E+12;Getränke;19;8,35;10,49;0;8,79;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 12er 3,00 Euro;224;0
13000041;;Monster Energy 0,5l Dose 12er Pack;5,06E+12;Getränke;19;11,12;11,99;1.438,00;11,99;19.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 12er 3,00 Euro;224;0
13000042;;Monster Rehab Tea 0,5l Dose 12er Pack;5,06E+12;Getränke;19;11,12;11,99;1.440,00;11,99;19.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 12er 3,00 Euro;224;0
13000043;;Monster Mango Loco 0,5l Dose 12er Pack;5,06E+12;Getränke;19;11,12;11,99;1.440,00;11,99;19.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 12er 3,00 Euro;224;0
13000044;;FANTA Lemon Elderflower 0,33l Dose 24er Pack;5,00E+12;Getränke;19;9,67;9,99;2.361,00;9,88;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000045;;FANTA Exotic 0,33l Dose 24er Pack;5,00E+12;Getränke;19;9,67;9,99;4.885,00;9,88;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000046;;FANTA Lemon 0,33l Dose 24er Pack;5,00E+12;Getränke;19;9,67;9,99;778;9,88;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000047;;FANTA Orange 0,33l Dose 24er Pack;5,00E+12;Getränke;19;9,67;9,99;2.554,00;9,88;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000048;;SPRITE 0,33l  Dose 24er Pack;5,00E+12;Getränke;19;9,67;9,99;2.454,00;9,88;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000049;;MEZZO MIX  0,33l  Dose 24er Pack;5,00E+12;Getränke;19;9,67;11,29;2.593,00;9,88;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000050;;Monster Energy Green Zero 0,5l Dose 12er Pack;5,06E+12;Getränke;19;11,12;11,99;1.440,00;11,99;19.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 12er 3,00 Euro;224;0
13000051;5,00E+12;Coca-Cola Zero Koffeinfrei 0,33l Dose 24er Pack;5,00E+12;Getränke;19;9,67;9,88;1.956,00;0;19.05.2026;19.05.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000052;;Monster Energy Lando Norris 0,5l Dose 12er Pack;5,06E+12;Getränke;19;11,12;11,99;1.440,00;0;19.05.2026;19.05.2026;DPG Pfand EINWEG 0,25 - 12er 3,00 Euro;224;0
13000053;;Fanta Tutti Frutti Zero 0,33l Dose 24er Pack;5,00E+12;Getränke;19;9,67;9,99;2.370,00;9,88;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000054;;Bionade Holunder 0,33l 12er Kiste;4,01E+12;Getränke;19;7,99;9,99;2;0;21.05.2026;21.05.2026;DPG Pfand Kiste 12er 2,46;112;0
13000055;;Bionade Litschi 0,33l 12er Kiste;4,01E+12;Getränke;19;7,99;9,99;2;0;21.05.2026;21.05.2026;DPG Pfand Kiste 12er 2,46;112;0
13000056;;Bionade Ingwer-Orange 0,33l 12er Kiste;4,01E+12;Getränke;19;7,99;9,99;2;0;21.05.2026;21.05.2026;DPG Pfand Kiste 12er 2,46;112;0
13000057;;Bionade Kräuter 0,33l 12er Kiste;4,01E+12;Getränke;19;7,99;9,99;2;0;21.05.2026;21.05.2026;DPG Pfand Kiste 12er 2,46;112;0
13000058;;fritz-limo Zitrone 0,33l 24er Kiste;4,26E+12;Getränke;19;15,29;17,99;18;16,79;29.06.2026;11.07.2026;DPG Pfand Bierkiste 24er 3,42;110;0
13000059;;firtz-limo Orange0,33l 24er Kiste;4,26E+12;Getränke;19;15,29;17,99;18;16,79;29.06.2026;11.07.2026;DPG Pfand Bierkiste 24er 3,42;110;0
13000060;;fritz-limo Honigmelone 0,33l 24er Kiste;4,26E+12;Getränke;19;15,29;17,99;20;16,79;29.06.2026;11.07.2026;DPG Pfand Bierkiste 24er 3,42;110;0
13000061;;fritz mischmasch Cola mit Orange 0,33l 24er Kiste;4,26E+12;Getränke;19;15,29;17,99;16;16,79;29.06.2026;11.07.2026;DPG Pfand Bierkiste 24er 3,42;110;0
13000062;;fritz-kola super zero 0,33l 24er Kiste;4,26E+12;Getränke;19;15,29;17,99;8;16,79;29.06.2026;11.07.2026;DPG Pfand Bierkiste 24er 3,42;110;0
13000063;;fritz-kola 0,33l 24er Kiste;4,26E+12;Getränke;19;15,29;17,99;27;16,79;29.06.2026;11.07.2026;DPG Pfand Bierkiste 24er 3,42;110;0
13000064;;7Up 0,33l 24er Kiste;87177077;Getränke;19;11,85;13,49;0;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000065;;Schwip Schwap Original 0,33l 20er Kiste;40608655;Getränke;19;11,85;13,49;20;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000066;;Schwip Schwap Orange 0,33l 24er Kiste;4,06E+12;Getränke;19;11,85;13,49;20;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000067;;California Pomegranat Eistee 0,33l 24er Kiste;4,00E+12;Getränke;19;15,5;17,99;48;16,79;22.05.2026;22.05.2026;DPG Pfand Bierkiste 24er 3,42;110;0
13000068;;California Blueberry Eistee 0,33l 24er Kiste;4,00E+12;Getränke;19;15,5;17,99;49;16,79;29.06.2026;11.07.2026;DPG Pfand Bierkiste 24er 3,42;110;0
13000069;;California Lemon Eistee 0,33l 24er Kiste;4,00E+12;Getränke;19;15,5;17,99;47;16,79;29.06.2026;11.07.2026;DPG Pfand Bierkiste 24er 3,42;110;0
13000070;;California Peach Eistee 0,33l 24er Kiste;4,00E+12;Getränke;19;15,5;17,99;49;16,79;29.06.2026;11.07.2026;DPG Pfand Bierkiste 24er 3,42;110;0
13000071;;California Passionfruit Eistee 0,33l 24er Kiste;4,00E+12;Getränke;19;15,5;17,99;29;16,79;29.06.2026;11.07.2026;DPG Pfand Bierkiste 24er 3,42;110;0
13000072;;California Ananas Eistee 0,33l 24er Kiste;4,00E+12;Getränke;19;15,5;17,99;29;16,79;29.06.2026;11.07.2026;DPG Pfand Bierkiste 24er 3,42;110;0
13000073;;California Cherry Eistee 0,33l 24er Kiste;4,00E+12;Getränke;19;15,5;17,99;29;16,79;29.06.2026;11.07.2026;DPG Pfand Bierkiste 24er 3,42;110;0
13000074;;California Apricot Eistee 0,33l 24er Kiste;4,00E+12;Getränke;19;15,5;17,99;29;16,79;29.06.2026;11.07.2026;DPG Pfand Bierkiste 24er 3,42;110;0
13000075;;Deace Bio Maracuja Schorle 0,33l 24er Kiste;4,00E+12;Getränke;19;17,85;20,49;10;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000076;;Deace Bio Apfelschorle trüb 0,33l 24er Kiste;4,00E+12;Getränke;19;15,5;17,99;9;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000077;;Deace Bio Rhabarberschorle trüb 0,33l 24er Kiste;4,00E+12;Getränke;19;17,85;20,49;10;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000078;;Deace Bio Johannisbeerschorle 0,33l 24er Kiste;4,00E+12;Getränke;19;16,85;18,99;10;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000079;;Deace Multivitaminnektar 50% 0,33l 24er Kiste;9,78E+12;Getränke;19;14,5;16,99;15;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000080;;Deace Apfelsaft 100% trüb 1l 6er Kiste;4,00E+12;Getränke;19;6,7;7,99;16;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 6er - 2,40 Euro;303;0
13000081;;Deace Orangensaft 100% 1l 6er Kiste;4,00E+12;Getränke;19;10,45;12,49;16;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 6er - 2,40 Euro;303;0
13000082;;Deace Ananassaft 100% 1l 6er Kiste;4,00E+12;Getränke;19;9,85;11,49;16;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 6er - 2,40 Euro;303;0
13000083;;Deace Bananennektar 25% 1l 6er Kiste;4,00E+12;Getränke;19;7,85;8,99;16;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 6er - 2,40 Euro;303;0
13000084;;Deace Maracujanektar 25% 1l 6er Kiste;4,00E+12;Getränke;19;10,65;12,49;16;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 6er - 2,40 Euro;303;0
13000085;;Deace Kirschnektar 50% 1l 6er Kiste;3,08E+11;Getränke;19;12,35;14,99;16;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 6er - 2,40 Euro;303;0
13000086;;Deace Rhabarbernektar 50% trüb 1l 6er Kiste;4,00E+12;Getränke;19;12,25;14,99;16;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 6er - 2,40 Euro;303;0
13000087;;Deace Multivitaminnektar 50% 1l 6er Kiste;4,00E+12;Getränke;19;7,6;9,99;16;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 6er - 2,40 Euro;303;0
13000088;;Deace Apfelsaft 100% klar 0,2l 24er Kiste;4,00E+12;Getränke;19;9,85;11,99;2;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000089;;Deace Orangensaft 100% 0,2l 24er Kiste;4,00E+12;Getränke;19;14,85;17,99;10;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000090;;Deace Multivitaminnektar 50% 0,2l 24er Kiste;4,00E+12;Getränke;19;9,85;11,99;10;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000091;;Deace Bananennektar 25% 0,2l 24er Kiste;4,00E+12;Getränke;19;10,85;12,99;10;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000092;;Deace Sauerkirschennektar 50% 0,2l 24er Kiste;4,00E+12;Getränke;19;14,95;17,99;9;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000093;;Deace Pfirsischnektar 50% 0,2l 24er Kiste;4,00E+12;Getränke;19;11,85;14,99;8;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000094;;Deace Maracujanektar 25% 0,2l 24er Kiste;4,00E+12;Getränke;19;13,85;16,99;9;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000095;;Akpinar Apfelschorle Gourmet 0,25l 20er Kiste;;Getränke;19;9,75;11,99;45;0;22.05.2026;22.05.2026;DPG Pfand Getränke 20er Kiste - 4,50 Euro;328;0
13000096;;Acqua Fonte Pura Naturale 0,75l 12er Kiste;;Getränke;19;6,85;8,99;108;7,99;29.06.2026;11.07.2026;DPG Pfand Kiste Getränke 12er - 3,30 Euro;331;0
13000097;;Acqua Fonte Pura Frizzante 0,75l 12er Kiste;;Getränke;19;6,85;8,99;108;7,99;29.06.2026;11.07.2026;DPG Pfand Kiste Getränke 12er - 3,30 Euro;331;0
13000098;;Schwip Schwap Orange 0,2l 24er Kiste;;Getränke;19;8,95;10,99;20;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000099;;Pepsi Cola 0,2l 24er Kiste;40608037;Getränke;19;8,95;10,99;0;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000100;;Pepsi Zero 0,2l 24er Kiste;4,05E+12;Getränke;19;8,95;10,99;40;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000101;;7 UP 0,2l 24er Kiste;;Getränke;19;8,95;10,99;0;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000102;;Pepsi Cola 0,33l 24er Kiste;40608051;Getränke;19;11,85;14,49;40;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000103;;Pepsi Zero 0,33l 24er Kiste;41007211;Getränke;19;11,85;14,49;40;0;22.05.2026;22.05.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000104;;Selters Culinarea Gastro Classic 0,25l 24er Kiste;;Getränke;19;7,29;8,99;142;8,79;29.06.2026;11.07.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000105;;Selters Naturell Gastro 0,25l 24er Kiste;;Getränke;19;7,29;8,99;138;8,79;29.06.2026;11.07.2026;DPG Pfand Kiste Getränke 24er - 5,10€;45;0
13000106;;Selters Culinarea Gastro Classic 0,75l 12er Kiste;;Getränke;19;6,75;8,99;43;8,49;29.06.2026;11.07.2026;DPG Pfand Kiste Getränke 12er - 3,30 Euro;331;0
13000107;;Selters Naturale Gastro 0,75l 12er Kiste;;Getränke;19;6,75;7,99;108;8,49;29.06.2026;11.07.2026;DPG Pfand Kiste Getränke 12er - 3,30 Euro;331;0
13000108;;Akpinar Classic Gourmet 0,75l 12er Kiste;;Getränke;19;6,25;7,99;108;7,49;29.06.2026;11.07.2026;DPG Pfand Kiste Getränke 12er - 3,30 Euro;331;0
13000109;;Akpinar Naturell Gourmet 0,75l 12er Kiste;;Getränke;19;6,25;8,49;108;7,49;29.06.2026;11.07.2026;DPG Pfand Kiste Getränke 12er - 3,30 Euro;331;0
13000110;;Akpinar Classic Gourmet 0,25l 20er Kiste;;Getränke;19;5,95;7,49;135;6,99;29.06.2026;11.07.2026;DPG Pfand Getränke 20er Kiste - 4,50 Euro;328;0
