Artikeltext1;Gruppe;MwSt;vkNetto;vkBrutto
FANTA Orange 0,33l Dose 24er Pack;Getränke;19;9,99;11,89
SPRITE 0,33l  Dose 24er Pack;Getränke;19;9,99;11,89
MEZZO MIX  0,33l  Dose 24er Pack;Getränke;19;11,29;13,44
Monster Energy Green Zero 0,5l Dose 12er Pack;Getränke;19;11,99;14,27
Coca-Cola Zero Koffeinfrei 0,33l Dose 24er Pack;Getränke;19;9,88;11,76
Monster Energy Lando Norris 0,5l Dose 12er Pack;Getränke;19;11,99;14,27
Fanta Tutti Frutti Zero 0,33l Dose 24er Pack;Getränke;19;9,99;11,89
Bionade Holunder 0,33l 12er Kiste;Getränke;19;9,99;11,89
Bionade Litschi 0,33l 12er Kiste;Getränke;19;9,99;11,89
Bionade Ingwer-Orange 0,33l 12er Kiste;Getränke;19;9,99;11,89
Bionade Kräuter 0,33l 12er Kiste;Getränke;19;9,99;11,89
fritz-limo Zitrone 0,33l 24er Kiste;Getränke;19;17,99;21,41
firtz-limo Orange0,33l 24er Kiste;Getränke;19;17,99;21,41
fritz-limo Honigmelone 0,33l 24er Kiste;Getränke;19;17,99;21,41
fritz mischmasch Cola mit Orange 0,33l 24er Kiste;Getränke;19;17,99;21,41
fritz-kola super zero 0,33l 24er Kiste;Getränke;19;17,99;21,41
fritz-kola 0,33l 24er Kiste;Getränke;19;17,99;21,41
7Up 0,33l 24er Kiste;Getränke;19;13,49;16,05
Schwip Schwap Original 0,33l 20er Kiste;Getränke;19;13,49;16,05
Schwip Schwap Orange 0,33l 24er Kiste;Getränke;19;13,49;16,05
California Pomegranat Eistee 0,33l 24er Kiste;Getränke;19;17,99;21,41
California Blueberry Eistee 0,33l 24er Kiste;Getränke;19;17,99;21,41
California Lemon Eistee 0,33l 24er Kiste;Getränke;19;17,99;21,41
California Peach Eistee 0,33l 24er Kiste;Getränke;19;17,99;21,41
California Passionfruit Eistee 0,33l 24er Kiste;Getränke;19;17,99;21,41
California Ananas Eistee 0,33l 24er Kiste;Getränke;19;17,99;21,41
California Cherry Eistee 0,33l 24er Kiste;Getränke;19;17,99;21,41
California Apricot Eistee 0,33l 24er Kiste;Getränke;19;17,99;21,41
Deace Bio Maracuja Schorle 0,33l 24er Kiste;Getränke;19;20,49;24,38
Deace Bio Apfelschorle trüb 0,33l 24er Kiste;Getränke;19;17,99;21,41
Deace Bio Rhabarberschorle trüb 0,33l 24er Kiste;Getränke;19;20,49;24,38
Deace Bio Johannisbeerschorle 0,33l 24er Kiste;Getränke;19;18,99;22,6
Deace Multivitaminnektar 50% 0,33l 24er Kiste;Getränke;19;16,99;20,22
Deace Apfelsaft 100% trüb 1l 6er Kiste;Getränke;19;7,99;9,51
Deace Orangensaft 100% 1l 6er Kiste;Getränke;19;12,49;14,86
Deace Ananassaft 100% 1l 6er Kiste;Getränke;19;11,49;13,67
Deace Bananennektar 25% 1l 6er Kiste;Getränke;19;8,99;10,7
Deace Maracujanektar 25% 1l 6er Kiste;Getränke;19;12,49;14,86
Deace Kirschnektar 50% 1l 6er Kiste;Getränke;19;14,99;17,84
Deace Rhabarbernektar 50% trüb 1l 6er Kiste;Getränke;19;14,99;17,84
Deace Multivitaminnektar 50% 1l 6er Kiste;Getränke;19;9,99;11,89
Deace Apfelsaft 100% klar 0,2l 24er Kiste;Getränke;19;11,99;14,27
Deace Orangensaft 100% 0,2l 24er Kiste;Getränke;19;17,99;21,41
Deace Multivitaminnektar 50% 0,2l 24er Kiste;Getränke;19;11,99;14,27
Deace Bananennektar 25% 0,2l 24er Kiste;Getränke;19;12,99;15,46
Deace Sauerkirschennektar 50% 0,2l 24er Kiste;Getränke;19;17,99;21,41
Deace Pfirsischnektar 50% 0,2l 24er Kiste;Getränke;19;14,99;17,84
Deace Maracujanektar 25% 0,2l 24er Kiste;Getränke;19;16,99;20,22
Akpinar Apfelschorle Gourmet 0,25l 20er Kiste;Getränke;19;11,99;14,27
Acqua Fonte Pura Naturale 0,75l 12er Kiste;Getränke;19;8,99;10,7
Acqua Fonte Pura Frizzante 0,75l 12er Kiste;Getränke;19;8,99;10,7
