Artikeltext1;Gruppe;MwSt;vkNetto;vkBrutto
Mehrweg-Gabel 18cm Transparent 100St;Verpackung/Reinigungsmittel/Hygiene;19;1,29;1,54
TOP Kaffebecher 0,1 - 100 Stück Art Nr 230617;Verpackung/Reinigungsmittel/Hygiene;19;2,09;2,49
TOP Kaffebecher 0,2 - 50 Stück Art Nr 230527;Verpackung/Reinigungsmittel/Hygiene;19;1,79;2,13
TOP Kaffeebecher 0,3 - 50 Stück  Art Nr 230528;Verpackung/Reinigungsmittel/Hygiene;19;2,29;2,73
TOP Kaffeebecher 0,4 - 50Stück  Art Nr 230840;Verpackung/Reinigungsmittel/Hygiene;19;2,89;3,44
TOP Kaffeb-Deckel, weiß 80mm 0,2-0,3l 100 St 230621;Verpackung/Reinigungsmittel/Hygiene;19;1,99;2,37
TOP Kaffeb-Deckel, weiß 90mm 100St 230641;Verpackung/Reinigungsmittel/Hygiene;19;2,49;2,96
Menüteller- Plastik Ungeteilt Weiss;Verpackung/Reinigungsmittel/Hygiene;19;5,29;6,3
Menüteller- Plastik 2get. Weiss 100 Stück;Verpackung/Reinigungsmittel/Hygiene;19;5,29;6,3
Menüteller- Plastik 3get. Weiss;Verpackung/Reinigungsmittel/Hygiene;19;5,29;6,3
Messer Mehrweg Transperant 100st;Verpackung/Reinigungsmittel/Hygiene;19;1,29;1,54
Trinkbecher 0,2 Weiss 100er Pack;Verpackung/Reinigungsmittel/Hygiene;19;1,75;2,08
Holz-Gabel Gebogen 100er Pack;Verpackung/Reinigungsmittel/Hygiene;19;1,79;2,13
TOP Pommes-Frites-Gabel Holz 1000 St;Verpackung/Reinigungsmittel/Hygiene;19;3,19;3,8
Menü-Box 2get Weiss;Verpackung/Reinigungsmittel/Hygiene;19;13,99;16,65
Menü-Box Ungeteilt Weiss;Verpackung/Reinigungsmittel/Hygiene;19;13,99;16,65
Menü- Box 3 geteilt Weiss;Verpackung/Reinigungsmittel/Hygiene;19;13,99;16,65
TOP Salatschale Braune Pappe 500ml 50er Pack;Verpackung/Reinigungsmittel/Hygiene;19;4,19;4,99
TOP Salatschale Braune Pappe 750ml  50er Pack;Verpackung/Reinigungsmittel/Hygiene;19;4,49;5,34
All Natural Salatschale-Deckel 15cm 500/750ml 50er Pack;Verpackung/Reinigungsmittel/Hygiene;19;2,59;3,08
TOP Salatschale Braune Pappe 1000ml 50er Pack;Verpackung/Reinigungsmittel/Hygiene;19;5,79;6,89
All Natural Salatschale Braun 1200ml Pappe 50er Pack;Verpackung/Reinigungsmittel/Hygiene;19;6,29;7,49
All Natural Salatschale- Deckel 1000/12000ml 50er Pack;Verpackung/Reinigungsmittel/Hygiene;19;3,59;4,27
Hähnchenbeutel 1/1 3-Lg;Verpackung/Reinigungsmittel/Hygiene;19;11,69;13,91
Hähnchenbeutel 1/2 3lg;Verpackung/Reinigungsmittel/Hygiene;19;7,49;8,91
Top Alufolie 30cm (14my) Extra Stark 4st 750g;Verpackung/Reinigungsmittel/Hygiene;19;21,49;25,57
Alufolie 1000g 30cm 14mx 4er Pack;Verpackung/Reinigungsmittel/Hygiene;19;26,99;32,12
 Gude Serv.Gepr.33x33cm 1/4 3,6kg;Verpackung/Reinigungsmittel/Hygiene;19;1,29;1,54
TOP Frischhaltefolie 30cm 4er Pack;Verpackung/Reinigungsmittel/Hygiene;19;11,99;14,27
TOP Frischhaltefolie 45cm lose 4er Pack;Verpackung/Reinigungsmittel/Hygiene;19;17,79;21,17
Döner-Kebab Beutel 16x16xm 4kg;Verpackung/Reinigungsmittel/Hygiene;19;9,99;11,89
Döner-Kebab Beutel 16x16xm 4kg;Verpackung/Reinigungsmittel/Hygiene;19;9,99;11,89
TOP Döner-Box Pappe 16OZ 480ml;Verpackung/Reinigungsmittel/Hygiene;19;5,49;6,53
TOP Döner-Box Pappe 26OZ 710ml 50er Pack;Verpackung/Reinigungsmittel/Hygiene;19;6,49;7,72
Dressing-Boxx Verp-Becher weiß, 80ml 500st;Verpackung/Reinigungsmittel/Hygiene;19;12,79;15,22
Dressing-Boxx Verp-Becher weiß, 100ml 500st;Verpackung/Reinigungsmittel/Hygiene;19;12,99;15,46
Salad Boxx - Verpackungsbecher 250CC 5X50 250Stück;Verpackung/Reinigungsmittel/Hygiene;19;9,99;11,89
Saladboxx mit Deckel 5X50 250 Stück;Verpackung/Reinigungsmittel/Hygiene;19;13,29;15,82
Micro Boxx Buttertöpfchen 30ml weiss mit Deckel (500st Karton) Art.No.: 10332;Verpackung/Reinigungsmittel/Hygiene;19;19,49;23,19
Buttertöpfchen 30ml mit Deckel Weiss (1000st Karton);Verpackung/Reinigungsmittel/Hygiene;19;21,99;26,17
Pizza-Karton 20x20x4 Braun NYC 100st;Verpackung/Reinigungsmittel/Hygiene;19;7,99;9,51
Pizza-Karton 24x24x4 Braun NYC 100st;Verpackung/Reinigungsmittel/Hygiene;19;9,49;11,29
Pizza-Karton 26x26x4 Braun NYC 100st;Verpackung/Reinigungsmittel/Hygiene;19;10,49;12,48
Pizza- Karton 28x28x4 Braun NYC 100st;Verpackung/Reinigungsmittel/Hygiene;19;11,49;13,67
Pizza-Karton 29x29x4 Braun NYC 100st;Verpackung/Reinigungsmittel/Hygiene;19;11,99;14,27
Pizza-Karton 30x30x4 Braun NYC 100st;Verpackung/Reinigungsmittel/Hygiene;19;12,99;15,46
Pizza- Karton Kraft 20x20x4 100st;Verpackung/Reinigungsmittel/Hygiene;19;9,99;11,89
Pizza- Karton Kraft 20x20x4 100st;Verpackung/Reinigungsmittel/Hygiene;19;9,99;11,89
Pizza-Karton 24x24x4 Kraft 100st;Verpackung/Reinigungsmittel/Hygiene;19;12,99;15,46
Pizza-Karton 26x26x4 Kraft 100st;Verpackung/Reinigungsmittel/Hygiene;19;13,99;16,65
Pizza-Karton 28x28x4 Kraft NYC HAPPY PIZZA 100st;Verpackung/Reinigungsmittel/Hygiene;19;14,99;17,84
Pizza-Karton 29x29x4 Kraft 100st;Verpackung/Reinigungsmittel/Hygiene;19;16,49;19,62
Pizza- Karton 30x30x4 Kraft 100st;Verpackung/Reinigungsmittel/Hygiene;19;12,99;15,46
Pizza- Karton 32x32x4 Weiss Kraft  - 100 St;Verpackung/Reinigungsmittel/Hygiene;19;18,99;22,6
Pizza- Karton 32x32x4 Weiss Kraft  - 100 St;Verpackung/Reinigungsmittel/Hygiene;19;18,99;22,6
Aluschale 240846/ R1;Verpackung/Reinigungsmittel/Hygiene;19;9,29;11,06
Aluschale-Deckel 240845/ R1;Verpackung/Reinigungsmittel/Hygiene;19;2,49;2,96
Aluschale 240651/187/ R65;Verpackung/Reinigungsmittel/Hygiene;19;8,29;9,87
Alu-Deckel 240650/187 R65;Verpackung/Reinigungsmittel/Hygiene;19;1,99;2,37
Salatschale B2/G2 1796 100ER Pack IP;Verpackung/Reinigungsmittel/Hygiene;19;5,29;6,3
Salatschale B3;Verpackung/Reinigungsmittel/Hygiene;19;10,69;12,72
Salatschale- Deckel B3;Verpackung/Reinigungsmittel/Hygiene;19;12,19;14,51
Gude Serviette Geprägt 1/4 33x33  (500St);Verpackung/Reinigungsmittel/Hygiene;19;5,79;6,89
Salatschale- Deckel B3;Verpackung/Reinigungsmittel/Hygiene;19;9,19;10,93
Pizza-Karton 24x24x4,2 Doppelkraft Pijama AK1024;Verpackung/Reinigungsmittel/Hygiene;19;11,29;13,44
Pizza-Karton 26x26x4,2 Doppelkraft Pijama AK1026;Verpackung/Reinigungsmittel/Hygiene;19;11,99;14,27
Pizza-Karton 28x28x4,2 Doppelkraft Pijama AK1028;Verpackung/Reinigungsmittel/Hygiene;19;12,99;15,46
Pizza- karton 29x29x4,2 Doppelkraft Pijama AK1029;Verpackung/Reinigungsmittel/Hygiene;19;13,69;16,29
Pizza-Karton 30x30x4,2 Doppelkraft Pijama AK10302;Verpackung/Reinigungsmittel/Hygiene;19;14,69;17,48
Pizza-Karton 32x32x4,2 Doppelkraft Pijama AK1032;Verpackung/Reinigungsmittel/Hygiene;19;16,69;19,86
Pizza- Karton 40x60x5 Doppelkraft Pijama AK4060;Verpackung/Reinigungsmittel/Hygiene;19;26,99;32,12
Küchenrolle 6er AK415 Jumborolle WELPA;Verpackung/Reinigungsmittel/Hygiene;19;10,99;13,08
Toilettenpapier 3lagig TP100 Aqua;Verpackung/Reinigungsmittel/Hygiene;19;10,49;12,48
Tragetasche 25x12x45cm Extra Stark 1000er Pack AK47;Verpackung/Reinigungsmittel/Hygiene;19;14,29;17,01
Tragetasche Extra Stark 28x14x48cm 1000er Pck;Verpackung/Reinigungsmittel/Hygiene;19;17,49;20,81
Tragetasche Extra Stark 30x18x55cm 1000er Pack;Verpackung/Reinigungsmittel/Hygiene;19;21,99;26,17
Tragetasche 30x20x60;Verpackung/Reinigungsmittel/Hygiene;19;17,99;21,41
Menüteller Ungeteilt Plastik 100er Pack;Verpackung/Reinigungsmittel/Hygiene;19;5,19;6,18
Menüteller 2get. Plastik;Verpackung/Reinigungsmittel/Hygiene;19;4,99;5,94
Menüteller 3get. Plastik;Verpackung/Reinigungsmittel/Hygiene;19;4,99;5,94
Suppenteller Plastik, weiß 100er Pack AK235 WELPA;Verpackung/Reinigungsmittel/Hygiene;19;4,49;5,34
Alufolie Extra Stark 700gr 4er;Verpackung/Reinigungsmittel/Hygiene;19;13,79;16,41
Alufolie Extra Stark 1200gr 4er Pack;Verpackung/Reinigungsmittel/Hygiene;19;25,69;30,57
Bella Nonna Gemüsemais 340g;Konserven;7;0,79;0,85
Bella Nonna Gemüsemais 2125gr;Konserven;7;4,69;5,02
Bella Nonna Rapsöl 10L;Konserven;7;12,99;13,9
GO Serviette 33cm 8x250 1/8 2000Stk;Verpackung/Reinigungsmittel/Hygiene;19;22,79;27,12
Erfrischungstücher 70x50 6x250;Verpackung/Reinigungsmittel/Hygiene;19;4,49;5,34
Vlies-Allzwecktuch grün 38x38 10St;Verpackung/Reinigungsmittel/Hygiene;19;2,49;2,96
Vlies- Allzwecktuch Rosa;Verpackung/Reinigungsmittel/Hygiene;19;2,49;2,96
Vlies- Allzwecktuch Gelb 38x38 10St;Verpackung/Reinigungsmittel/Hygiene;19;2,49;2,96
Vlies- Allzwecktuch Blau;Verpackung/Reinigungsmittel/Hygiene;19;2,49;2,96
Nitril Handschuh Blau Grösse M 100st;Verpackung/Reinigungsmittel/Hygiene;19;4,49;5,34
Nitril Handschuh Puderfrei Blau Grösse L;Verpackung/Reinigungsmittel/Hygiene;19;4,49;5,34
Servietten 2-lagig Interfold Weiss 250st;Verpackung/Reinigungsmittel/Hygiene;19;61,99;73,77
Barilla Spaghetti Nr. 5 500g;Lebensmittel;7;0,95;1,02
Barilla Penne rigate Nr. 73 500g;Lebensmittel;7;0,95;1,02
Barilla Spaghetti CLASSICA Nr. 5 5kg;Lebensmittel;7;8,99;9,62
Barilla  Penne Rigate Nr.73 5kg;Lebensmittel;7;8,99;9,62
Barilla Tortiglioni Nr.83 5kg;Lebensmittel;7;8,99;9,62
LYDA Pizza Mehl Type 00 25kg;Lebensmittel;7;19,99;21,39
LYDIA Weizenmehl Type 405 1kg;Lebensmittel;7;0,89;0,95
LYDA Weizenmehl Type 405 10kg;Lebensmittel;7;9,9;10,59
LYDIA Oliven-Scheiben Schwarz 4250g;Lebensmittel;7;9,99;10,69
LYDIA Oliven- Schwarz Ohne Kern 28-30 4250ml;Lebensmittel;7;9,99;10,69
LYDIA Oliven- Grün Ohne Kern 28-30 4250ml;Lebensmittel;7;9,99;10,69
LYDIA Peperoni Griechisch Mild 6kg- Eimer;Lebensmittel;7;17,49;18,71
La Perla Sardellenfilets In Sonnenblumenöl;Konserven;7;9,49;10,15
Bonduelle Mais 1775g;Konserven;7;4,99;5,34
LYDIA Halb-Flüssig Fritieröl 10L;Konserven;7;21,99;26,17
Tafelessig 5% weiss 10L;Konserven;7;5,49;5,87
Hollandaise Sauce 1L Lukull;Konserven;7;3,99;4,27
Royal Hollandia Gouda 48% ca. 15kg;Lebensmittel;7;4,29;4,59
LYDIA Geraspelter Käse Edame 40% Halal 2kg;Lebensmittel;7;11,99;12,83
Lydia Geriebelter Gouda Käse 48% Halal 2kg;Lebensmittel;7;11,49;12,29
Lydia Gouda Scheiben Käse 48% Halal 1kg;Kühlschrankware;7;5,99;6,41
Lydia Mozzarella 40+ Geriebelt 2kg;Kühlschrankware;7;11,99;12,83
Combi Rot Weisskäse 40% 16kg;Konserven;7;49,99;53,49
Lydia Mozzarella 42% 1kg Stange;Kühlschrankware;7;4;4,28
Lydia Gorgonzola DOP ca. 1,5kg;Kühlschrankware;7;10,49;11,22
Frischli Küchensahne 20% 1L;Konserven;7;2,19;2,34
Lydia Kochsahne 20% Halal 1L;Konserven;7;2,19;2,34
Truthahnsalami geschnitten Halal 500g;Kühlschrankware;7;5,49;5,87
KILLIFEY Tiger Garnelen geschält 200/300 TK 1kg;TK Tiefkühl;7;7,69;8,23
KILLIFEY Tiger Garnelen geschält 100/200 TK 1kg;TK Tiefkühl;7;8,29;8,87
KILLIFEY Tiger Garnelen geschält 80/120 TK 1kg;TK Tiefkühl;7;8,49;9,08
KILLIFEY Meeresfrüchtemischung TK 1kg;TK Tiefkühl;7;7,69;8,23
Bonduelle Blattspinat Portioniert TK 2,5kg;TK Tiefkühl;7;5,49;5,87
TK Lydia Knoblauchzehen geschält 1kg;TK Tiefkühl;7;3,69;3,95
REAL American Hamburgerbrötchen Sesam 80g TK 30st;TK Tiefkühl;7;8,59;9,19
REAL American Hamburgerbrötchen Sesam 125g 20st;TK Tiefkühl;7;9,69;10,37
La Mirabella Pizzasauce Classic Glutenfrei Halal  4250ml;Konserven;7;7,49;8,01
Real American Crispy Hotwings Halal 1kg TK;TK Tiefkühl;7;8,79;9,41
Real American Hamburger Gewürzt 110g Halal 5kg TK;TK Tiefkühl;7;55,99;59,91
Lydia Blumenkohl 35-60m 2,5kg TK;TK Tiefkühl;7;4,99;5,34
Real American Chicken Buffalo gegart Halal 1kg TK;TK Tiefkühl;7;6,29;6,73
Lydia Formtruthan Schinken Silberfilie 93% Halal 5kg;TK Tiefkühl;7;39,99;42,79
Real American Hähnchenbruststreifen Gegrillt Halal  2,5kg TK;TK Tiefkühl;7;14,19;15,18
Real American Crispy Chicken Burger 100g 2,5kg TK;TK Tiefkühl;7;18,99;20,32
Mutti Geschälte Tomaten 2650ml;Konserven;7;4,49;4,8
Real American Chicken Nuggets Halal 1kg Halal;TK Tiefkühl;7;6,99;7,48
LA Mirabella Tomaten Pulpe Fine 10kg;Konserven;7;12,99;13,9
Lydia Thunfischstücke in Öl 1705g;Konserven;7;7,19;7,69
Goldmann Frittieröl 10L Pet;Öle;7;17,99;19,25
Feinkostschale mit Deckel  PP 125CC 5X50  250 stück;Verpackung/Reinigungsmittel/Hygiene;19;8,99;10,7
transportkosten;Transportkosten;19;50;59,5
Lydia Röstzwiebeln 1kg;Lebensmittel;7;5,29;5,66
LYDIA Artischockenherzen in Wasser 425ml;Konserven;7;1,89;2,02
LYDIA Tomaten Paprikastreifen ROT 4250ml;Konserven;7;6,29;6,73
La Mirabella Geschälte Tomaten 2500g;Konserven;7;3,49;3,73
LYDIA Thunfischstücke in Öl 185g;Konserven;7;1,19;1,27
LYDIA Ananasstücke leicht gezuckert 3000g;Konserven;7;6,49;6,94
LYDIA Ananasstücke leicht gezuckert 850ml;Konserven;7;2,19;2,34
LYDIA Kapern 9-11m 700g;Konserven;7;3,49;3,73
Lydia Mais Dose 425g;Konserven;7;0,89;0,95
GIMOKA Rot Ital. Kaffeebohnen 1kg;Lebensmittel;7;12,99;13,9
SEGAFREDO Intermezzo espresso ital. Kaffeebohnen 1kg;Lebensmittel;7;13,99;14,97
SEGAFREDO Casa Espresso ital. Kaffeebohnen 1kg;Lebensmittel;7;14,99;16,04
SEGAFREDO Selezione Espresso ital. Kaffeebohnen 1kg;Lebensmittel;7;16,99;18,18
LAVVAZA Crema Ital. Kaffeebohnen 1kg;Lebensmittel;7;21,99;23,53
D.P. Calzonebox 27x16x7cm Kraft 200st;Verpackung/Reinigungsmittel/Hygiene;19;26,99;32,12
D.P. Calzonebox Deliziosa 30x16x10cm Kraft 100st;Verpackung/Reinigungsmittel/Hygiene;19;20,99;24,98
D.P Feinkostschale und Deckel PP Tansparant 5X50 250 Stück;Verpackung/Reinigungsmittel/Hygiene;19;9,19;10,94
D.P. Saucenbecher mit Deckel 50cc Transparant Pet 20x50;Verpackung/Reinigungsmittel/Hygiene;19;19,99;23,79
D.P. Saucenbecher mit Deckel 80CC Transparant PET 20X50  1000Stück;Verpackung/Reinigungsmittel/Hygiene;19;19,99;23,79
Salatschalen B2 weiss  100St;Verpackung/Reinigungsmittel/Hygiene;19;3,99;4,75
Salatschale B3 Weiss 100 Stück;Verpackung/Reinigungsmittel/Hygiene;19;5,79;6,89
Salatschale Deckel B3/G3 100St 1747 IP;Verpackung/Reinigungsmittel/Hygiene;19;6,49;7,72
La Mirabella Blau Pizzamehl Premium Tipo 00 25kg;Lebensmittel;7;21,9;23,43
Larissa Paprikapulver 800g;Gewürze;7;4,79;5,13
D.P. Pizzabox italia 26x26x4cm Braun Kraft 100st;Verpackung/Reinigungsmittel/Hygiene;19;11,49;13,67
Larissa Knoblauchpulver 1kg;Gewürze;7;6,09;6,52
Larissa Petersilie getrocknet 700g;Gewürze;19;7,19;8,56
Larissa Chili grob (Pul Biber ) 800g;Gewürze;7;7,29;7,8
UNI EAGL Sriracha Scharf Chilisauce 815g;Saucen;7;3,79;4,06
Larissa Pommes Gewürz 2kg;Gewürze;7;4,29;4,59
D.P. Pizzabox B&W Vollfarbe 28x28x4cm 100st;Verpackung/Reinigungsmittel/Hygiene;19;14,29;17,01
P&W Burger Dressing Dänisch 900ml;Saucen;7;3,79;4,06
D.P. Pizzabox B&W Vollfarbe 32x32x4cm 100st;Verpackung/Reinigungsmittel/Hygiene;19;17,49;20,81
D.P. Pizzabox B&W Vollfarbe 26x26x4cm 100st;Verpackung/Reinigungsmittel/Hygiene;19;13,79;16,41
D.P. Pizzabox B&W Vollfarbe 30x30x4cm 100st;Verpackung/Reinigungsmittel/Hygiene;19;15,99;19,03
Larissa Oregano 1kg;Gewürze;7;7,49;8,01
Podravka Vegeta Würzmischung 3kg Eimer;Gewürze;7;15,49;16,57
Larissa Paprikapulver mild 800kg;Gewürze;7;4,79;5,13
Naarmann H-Milch 3,5% 1L;Molkerei;7;0,94;1,01
Narmann H-Milch 1,5% 1L;Molkerei;7;0,84;0,9
Narmann Küchensahne 20% 1L;Molkerei;7;2,49;2,66
Narmann H-Sahne 30% 1L;Molkerei;7;2,89;3,09
Narmann Küchensahne 15% 1L;Molkerei;7;2,29;2,45
Toilettenpapier 8x250 3lg Premium - Topa Tissue;Verpackung/Reinigungsmittel/Hygiene;19;2,79;3,32
Toilettenpapier 8x250 2lg Premium - Topa Tissue;Verpackung/Reinigungsmittel/Hygiene;19;2,29;2,73
Graziosa Küchenrolle 8x4er 3lg;Verpackung/Reinigungsmittel/Hygiene;19;2,52;3
Pizzakarton 32x32x4 Braun NYC 100st;Verpackung/Reinigungsmittel/Hygiene;19;14,99;17,84
SUNTAT Tosia Pilavlik Pirinc (Loto) 5kg;Lebensmittel;7;6,59;7,05
SUNTAT DomatesSalcasi 4200g Dose;Lebensmittel;7;5,19;5,55
ESMA Tatli Biber Salcasi 1650g PET;Lebensmittel;7;5,19;5,55
ESMA Aci Biber Salcasi 1650g;Lebensmittel;7;5,19;5,55
SUNTAT Domates Salcasi Premium 28-30% 800g;Lebensmittel;7;1,29;1,38
SUNTAT Fasülye Haslama 12x850ml Dose;Lebensmittel;7;0,99;1,06
SUNTAT Nohut Haslama 850ml Dose 12er Pack;Lebensmittel;7;0,99;1,18
KERVAN Erzincan Beyaz Peynir 55% 800g;Kühlschrankware;7;5,49;6,53
KERVAN Erzincan Beyaz Peynir 60% 800g;Kühlschrankware;7;5,49;6,53
KERVAN Kombi Extra 20 % 800 g;Kühlschrankware;7;2,49;2,96
SUNTAT Kirmizi Mercimek 2,5kg;Lebensmittel;7;3,99;4,27
SUNTAT Pilavlik Bulgur  5kg;Lebensmittel;7;8,69;9,3
SUNTAT  Köftelik Bulgur 2,5kg;Lebensmittel;7;4,29;4,59
SUNTAT Alice Ceylon Cay 1kg;Lebensmittel;7;8,69;9,3
SUNTAT Alice Ceylon Cay 500g;Lebensmittel;7;5,29;5,66
COUNTRY CUISINE Gegart Gebratene Hähnchenbrustfilet 2kg;TK Tiefkühl;7;14,99;16,04
SUNTAT Baldo Pirinc 2x5kg;Lebensmittel;7;3,6;3,85
SUNTAT Sivri Pirinc 5kg;Lebensmittel;7;7,49;8,01
Gegart Gebratene IF - 1kg;TK Tiefkühl;7;7,49;8,01
Chicken Nuggets im Backteig Halal - 1kg;TK Tiefkühl;7;4,69;5,02
#;Saucen;7;12,49;13,36
GYMA Eco Tomatenketchup 10kg Eimer;Saucen;7;15,99;17,11
GYMA Eco Gewürzketchup  Curry 10kg Eimer;Saucen;7;12,49;13,36
GYMA Eco Gewürzketchup Curry Pikant 10kg Eimer;Saucen;7;14,99;16,04
GYMA Eco Gewürzketchup Schaschlik 10kg Eimer;Saucen;7;13,99;14,97
GYMA Eco Salatmayonnaise 50% Fett 10l Eimer;Saucen;7;20,49;21,92
GYMA PREMIUM Tomatenketchup 10kg;Saucen;7;15,49;18,43
GYMA PREMIUM Gewürzketchup Classic 10kg Eimer;Saucen;7;17,99;19,25
GYMA PREMIUM Currywurstsauce rot 10kg;Saucen;7;18,99;20,32
GYMA PREMIUM Salatmayonnaise 10l Eimer;Saucen;7;21,49;22,99
GYMA PREMIUM Mayonnaise 80% 10l Eimer;Saucen;7;27,99;29,95
GYMA Sweet BBQ FREE Sauce 5kg;Saucen;7;9,99;10,69
Lydia tomato Ketchup   100x20ml;Saucen;7;9,49;10,15
GYMA Remoulade Vegan 4,7kg Eimer;Saucen;7;11,49;13,67
GYMA Tomatenketchup 150x15g Portionsbeutel;Saucen;7;8,99;9,62
GYMA Salatmayonnaise 150x20g Portionsbeutel;Saucen;7;12,99;15,46
GYMA Senf 250x10g Portionsbeutel;Saucen;7;11,49;13,67
GYMA Samuraisauce 950gr Portionierflasche;Saucen;7;3,49;4,15
GYMA Algerienne Sauce 950gr Portionierflasche;Saucen;7;3,49;3,73
GYMA Andalouse Sauce 950gr Portionierflasche;Saucen;7;3,79;4,06
GYMA Cajun 950gr Portionierflasche;Saucen;7;3,49;3,73
GYMA Sojapan Sauce 950gr Portionierflasche;Saucen;7;3,49;4,15
GYMA Chipotle Sauce 950gr Portionierflasche;Saucen;7;3,99;4,75
GYMA Kebab Sauce 4,5kg Eimer;Saucen;7;13,49;16,05
GYMA Supreme Burger Sauce 4,75kg Eimer;Saucen;7;17,99;19,25
SUNTAT Kirmizi Mercimek 5kg;Lebensmittel;7;7,79;8,34
SULTAN Pul Biber 5kg Eimer;Gewürze;7;23,49;25,13
SULTAN Susam 800g Beutel;Gewürze;7;3,69;3,95
SULTAN Maydanoz 600g Beutel;Gewürze;7;5,99;6,41
SULTAN Karabiber Tozu 800g Beutel;Gewürze;7;8,79;9,41
SULTAN SarimsakGranulat 800g Beutel;Gewürze;7;5,49;5,87
SULTAN Corek Otu  800g Beutel;Gewürze;7;5,19;5,55
SULTAN Dag Kekik 800g Beutel;Gewürze;7;7,89;8,44
SULTAN Dere Otu 750g Beutel;Gewürze;7;11,49;12,29
SULTAN Nane 800g Beutel;Gewürze;7;5,69;6,09
SULTAN Pommes Baharat 800g Beutel;Gewürze;7;2,19;2,34
SULTAN Sumak 800g Beutel;Gewürze;7;7,99;8,55
SULTAN Aci Pul Biber  800g Beutel;Gewürze;7;4,09;4,38
SULTAN Tatli Toz Biber 800g Beutel;Gewürze;7;4,19;4,48
SULTAN  Isot 800g Beutel;Gewürze;7;5,79;6,2
SULTAN Limon Tuzu 800g Beutel;Gewürze;19;2,69;3,2
SULTAN Tavuk Baharat  800g Beutel;Gewürze;7;2,19;2,34
ANDU Wolfsbarschfilets 80/120 - 800g  Beutel;TK Tiefkühl;7;16,49;17,64
ANDU Zanderfilet  M/H  120/170 - 5kg IQF;TK Tiefkühl;7;11,49;12,29
ANDU Zanderfilet M/H  170/230 - 5kg  IQF;TK Tiefkühl;7;13,49;14,43
ANDU Rotbarschfilet  o/H 160/180 Netto 800g - 1kg Beutel;TK Tiefkühl;7;7,99;8,55
ANDU Rotbarschfilet  o/H 180/220 - 10x1kg Beutel;TK Tiefkühl;7;7,99;8,55
ANDU Kabeljau Loins, ohne Haut  180/220 - 1kg;TK Tiefkühl;7;11,49;12,29
ANDU Nordseezungen ganz 400/500 - 10 Colli;TK Tiefkühl;7;22,99;24,6
ANDU Pangasiusfilet Premium 170/230 - 1kg;TK Tiefkühl;7;5,99;6,41
ANDU Seehechtsscheiben Medium - 1kg;TK Tiefkühl;7;7,49;8,01
ANDU Seehechtfilet - 1kg Beutel;TK Tiefkühl;7;8,99;9,62
ANDU Calamar Tuben U/10 - 1kg - Frocean China;TK Tiefkühl;7;7,49;8,01
ANDU Calamar Tuben U/5 - 10x1kg - Frocean;TK Tiefkühl;7;7,49;8,01
ANDU Calamar Tuben 21/40 - 6x2kg - Formosana;TK Tiefkühl;7;14,99;16,04
ANDU Jakobsmuscheln 1/2 Schale 20/40 Peru - 1kg;TK Tiefkühl;7;13,99;14,97
ANDU Venusmuscheln (Meretrix) 60/80 ganz - 1kg;TK Tiefkühl;7;4,69;5,02
ANDU Venusmuschelfleisch Netto 800g Beutel;TK Tiefkühl;7;6,49;6,94
ANDU Sepia gereinigt U/5 - 1kg Beutel;TK Tiefkühl;7;10,49;11,22
ANDU Sepia gereinigt U/10 - 1kg Beutel;TK Tiefkühl;7;9,49;10,15
ANDU Gambas B/T 4/6 - 1kg Platinium;TK Tiefkühl;7;23,49;25,13
ANDU Gambas B/T 6/8 - 1kg;TK Tiefkühl;7;15,49;16,57
ANDU Gambas B/T 8/12 - 1kg Frocean;TK Tiefkühl;7;11,49;12,29
ANDU Gambas B/T 13/15 - 1kg Frocean;TK Tiefkühl;7;10,99;11,76
ANDU Gambas B/T 16/20 - 1kg Frocean;TK Tiefkühl;7;9,99;10,69
ANDU Gambas B/T 21/30 - 1kg Frocean;TK Tiefkühl;7;9,99;10,69
ANDU Gambas B/T 31/40 - 1kg Frocean;TK Tiefkühl;7;7,49;8,01
ANDU Black Tiger 8/12 EZP Premium 800gr beutel;TK Tiefkühl;7;12,79;13,69
ANDU VN Gambas 8/12 ohne Kopf EZP - 1kg 750g;TK Tiefkühl;7;11,99;12,83
ANDU VN Gambas 8/12 ohne Kopf EZP - 1kg 750g;TK Tiefkühl;7;11,99;12,83
ANDU VN Gambas 8/12 o/K EZP - 10x1kg %20 Premium;TK Tiefkühl;7;0;0
ANDU Black Tiger Garn 16/20 - 1kg EZP 800gr;TK Tiefkühl;7;11,99;12,83
ANDU Black Tiger 8/12 - 1,8kg;TK Tiefkühl;7;17,99;19,25
ANDU Black Tiger 13/15 - 1,8kg;TK Tiefkühl;7;17,99;19,25
ANDU Black Tiger 16/20 - 1,8kg;TK Tiefkühl;7;15,49;16,57
ANDU Black Tiger 21/25 - 1,8kg;TK Tiefkühl;7;13,99;14,97
ANDU VN Garnelen 21/25 - 1kg EZP 750gr;TK Tiefkühl;7;7,79;8,34
ANDU VN Garnelen 31/40 EZP - 1kg;TK Tiefkühl;7;6,79;7,27
ANDU Vannamei Garnelen ohne Kopf 26/30 EZP - 1kg;TK Tiefkühl;7;6,99;7,48
ANDU White Tiger shrimps gekocht  90/120 - 10x1kg;TK Tiefkühl;7;8,99;9,62
ANDU Premium BT Shrimps 71/90 - 1kg;TK Tiefkühl;7;9,99;10,69
